path_name,adj_p_val,overlapping_genes,-log10_pval,method,time_int,path_name_clean,n_sensors
positive regulation of DNA-binding transcription factor activity (GO:0051091),0.004635754370755328,"['NFKBIA', 'CSF3', 'IL6', 'IL1B', 'DDIT3', 'HSPA1B', 'HSPA1A']",2.3338795835478825,foldChange,32,Positive regulation of dna-binding transcription factor activity ,7
regulation of astrocyte activation (GO:0061888),0.004635754370755328,"['IL6', 'LDLR']",2.3338795835478825,foldChange,32,Regulation of astrocyte activation ,2
regulation of fever generation (GO:0031620),0.004635754370755328,"['IL1B', 'PTGS2']",2.3338795835478825,foldChange,32,Regulation of fever generation ,2
regulation of T-helper 1 cell cytokine production (GO:2000554),0.004635754370755328,"['IL1R1', 'IL1B']",2.3338795835478825,foldChange,32,Regulation of t-helper 1 cell cytokine production ,2
glucose import across plasma membrane (GO:0098708),0.004635754370755328,"['SLC2A1', 'SLC2A3']",2.3338795835478825,foldChange,32,Glucose import across plasma membrane ,2
positive regulation of glial cell proliferation (GO:0060252),0.004635754370755328,"['IL6', 'IL1B']",2.3338795835478825,foldChange,32,Positive regulation of glial cell proliferation ,2
positive regulation of heat generation (GO:0031652),0.004635754370755328,"['IL1B', 'PTGS2']",2.3338795835478825,foldChange,32,Positive regulation of heat generation ,2
positive regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070426),0.004635754370755328,"['HSPA1B', 'HSPA1A']",2.3338795835478825,foldChange,32,Positive regulation of nucleotide-binding oligomerization domain containing signaling pathway ,2
positive regulation of prostaglandin biosynthetic process (GO:0031394),0.004635754370755328,"['IL1B', 'PTGS2']",2.3338795835478825,foldChange,32,Positive regulation of prostaglandin biosynthetic process ,2
positive regulation of T-helper 1 cell cytokine production (GO:2000556),0.004635754370755328,"['IL1R1', 'IL1B']",2.3338795835478825,foldChange,32,Positive regulation of t-helper 1 cell cytokine production ,2
protein K29-linked deubiquitination (GO:0035523),0.004635754370755328,"['TNFAIP3', 'YOD1']",2.3338795835478825,foldChange,32,Protein k29-linked deubiquitination ,2
"positive regulation of transcription, DNA-templated (GO:0045893)",0.004635754370755328,"['CSF3', 'JUN', 'DTX3L', 'RASL11A', 'LIF', 'HMGB2', 'NFKBIA', 'NR4A2', 'HELZ2', 'PER1', 'IL6', 'SFRP1', 'IL1B', 'DDIT3', 'NAMPT', 'SOX4']",2.3338795835478825,foldChange,32,"Positive regulation of transcription, dna-templated ",16
positive regulation of vascular endothelial growth factor production (GO:0010575),0.004762346475419497,"['IL6', 'IL1B', 'PTGS2']",2.322179011516396,foldChange,32,Positive regulation of vascular endothelial growth factor production ,3
regulation of mitotic metaphase/anaphase transition (GO:0030071),0.005295260610319464,"['CCNB1', 'DUSP1', 'UBE2C']",2.276112660893897,foldChange,32,Regulation of mitotic metaphase/anaphase transition ,3
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844),0.005353409966721224,"['CXCL8', 'CXCL1', 'CXCL3', 'CXCL2']",2.2713694968618174,foldChange,32,Antimicrobial humoral immune response mediated by antimicrobial peptide ,4
steroid biosynthetic process (GO:0006694),0.005551057524479356,"['INSIG1', 'MSMO1', 'HMGCR', 'DHCR7']",2.2556242721394932,foldChange,32,Steroid biosynthetic process ,4
regulation of vascular endothelial growth factor production (GO:0010574),0.005551057524479356,"['IL6', 'IL1B', 'PTGS2']",2.2556242721394932,foldChange,32,Regulation of vascular endothelial growth factor production ,3
regulation of vasculature development (GO:1901342),0.005551057524479356,"['IL6', 'SFRP1', 'HMOX1']",2.2556242721394932,foldChange,32,Regulation of vasculature development ,3
positive regulation of erythrocyte differentiation (GO:0045648),0.005551057524479356,"['HMGB2', 'HSPA1B', 'HSPA1A']",2.2556242721394932,foldChange,32,Positive regulation of erythrocyte differentiation ,3
regulation of apoptotic process (GO:0042981),0.005551057524479356,"['TOP2A', 'NFKBIA', 'NGFR', 'JUN', 'IL6', 'SFRP1', 'ANKRD1', 'DHCR24', 'HSPA1B', 'IFIT3', 'SOX4', 'HSPA1A']",2.2556242721394932,foldChange,32,Regulation of apoptotic process ,12
cytoskeleton organization (GO:0007010),0.005551057524479356,"['DES', 'CCL7', 'TNFAIP3', 'CCL2', 'RND3']",2.2556242721394932,foldChange,32,Cytoskeleton organization ,5
regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239),0.005551057524479356,"['IL1B', 'HSPA1B', 'HSPA1A']",2.2556242721394932,foldChange,32,Regulation of extrinsic apoptotic signaling pathway in absence of ligand ,3
cellular heat acclimation (GO:0070370),0.005551057524479356,"['HSPA1B', 'HSPA1A']",2.2556242721394932,foldChange,32,Cellular heat acclimation ,2
regulation of mitotic sister chromatid segregation (GO:0033047),0.005551057524479356,"['CCNB1', 'DUSP1']",2.2556242721394932,foldChange,32,Regulation of mitotic sister chromatid segregation ,2
regulation of mitotic spindle checkpoint (GO:1903504),0.005551057524479356,"['CCNB1', 'DUSP1']",2.2556242721394932,foldChange,32,Regulation of mitotic spindle checkpoint ,2
regulation of nuclease activity (GO:0032069),0.005551057524479356,"['OAS3', 'HMGB2']",2.2556242721394932,foldChange,32,Regulation of nuclease activity ,2
regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070432),0.005551057524479356,"['HSPA1B', 'HSPA1A']",2.2556242721394932,foldChange,32,Regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway ,2
positive regulation of fever generation (GO:0031622),0.005551057524479356,"['IL1B', 'PTGS2']",2.2556242721394932,foldChange,32,Positive regulation of fever generation ,2
heat acclimation (GO:0010286),0.005551057524479356,"['HSPA1B', 'HSPA1A']",2.2556242721394932,foldChange,32,Heat acclimation ,2
hexose import across plasma membrane (GO:0140271),0.005551057524479356,"['SLC2A1', 'SLC2A3']",2.2556242721394932,foldChange,32,Hexose import across plasma membrane ,2
cellular response to oxidative stress (GO:0034599),0.00611749694765508,"['JUN', 'HMOX1', 'SOD2', 'HSPA1B', 'HSPA1A']",2.2134262386687578,foldChange,32,Cellular response to oxidative stress ,5
regulation of protein secretion (GO:0050708),0.00611749694765508,"['IL6', 'IL1B', 'ANKRD1', 'SLC2A1', 'HMGCR']",2.2134262386687578,foldChange,32,Regulation of protein secretion ,5
sterol metabolic process (GO:0016125),0.006149308486602798,"['INSIG1', 'MSMO1', 'HMGCR', 'DHCR7']",2.2111737195641004,foldChange,32,Sterol metabolic process ,4
positive regulation of cellular protein localization (GO:1903829),0.00642537038230737,"['NGFR', 'DTX3L', 'LIF', 'SLC5A3']",2.192101832921795,foldChange,32,Positive regulation of cellular protein localization ,4
positive regulation of macromolecule biosynthetic process (GO:0010557),0.006853078667286486,"['IL6', 'IL1B', 'NAMPT', 'CCL2', 'SOX4']",2.16411428283716,foldChange,32,Positive regulation of macromolecule biosynthetic process ,5
positive regulation of ubiquitin-protein transferase activity (GO:0051443),0.006869225260661439,"['CDC20', 'UBE2C', 'ARRDC3']",2.163092241687595,foldChange,32,Positive regulation of ubiquitin-protein transferase activity ,3
regulation of natural killer cell chemotaxis (GO:2000501),0.006869225260661439,"['CCL7', 'CCL2']",2.163092241687595,foldChange,32,Regulation of natural killer cell chemotaxis ,2
regulation of prostaglandin biosynthetic process (GO:0031392),0.006869225260661439,"['IL1B', 'PTGS2']",2.163092241687595,foldChange,32,Regulation of prostaglandin biosynthetic process ,2
positive regulation of gliogenesis (GO:0014015),0.006869225260661439,"['IL6', 'IL1B']",2.163092241687595,foldChange,32,Positive regulation of gliogenesis ,2
hyaluronan biosynthetic process (GO:0030213),0.006869225260661439,"['CEMIP', 'IL1B']",2.163092241687595,foldChange,32,Hyaluronan biosynthetic process ,2
positive regulation of microtubule nucleation (GO:0090063),0.006869225260661439,"['HSPA1B', 'HSPA1A']",2.163092241687595,foldChange,32,Positive regulation of microtubule nucleation ,2
positive regulation of unsaturated fatty acid biosynthetic process (GO:2001280),0.006869225260661439,"['IL1B', 'PTGS2']",2.163092241687595,foldChange,32,Positive regulation of unsaturated fatty acid biosynthetic process ,2
regulation of epithelial to mesenchymal transition (GO:0010717),0.007612753574239237,"['SFRP1', 'IL6', 'IL1B', 'SPRY1']",2.118458228144456,foldChange,32,Regulation of epithelial to mesenchymal transition ,4
positive regulation of programmed cell death (GO:0043068),0.007612753574239237,"['TOP2A', 'NGFR', 'JUN', 'IL6', 'SFRP1', 'ANKRD1', 'SOX4']",2.118458228144456,foldChange,32,Positive regulation of programmed cell death ,7
positive regulation of transcription by RNA polymerase II (GO:0045944),0.007612753574239237,"['NGFR', 'CSF3', 'JUN', 'LIF', 'HMGB2', 'NFKBIA', 'NR4A2', 'HELZ2', 'PER1', 'IL6', 'DDIT3', 'NAMPT', 'SOX4']",2.118458228144456,foldChange,32,Positive regulation of transcription by rna polymerase ii ,13
regulation of inflammatory response (GO:0050727),0.007612753574239237,"['NFKBIA', 'IL6', 'IL1R1', 'IL1B', 'TNFAIP3', 'PTGS2']",2.118458228144456,foldChange,32,Regulation of inflammatory response ,6
negative regulation of smooth muscle cell proliferation (GO:0048662),0.007612753574239237,"['TNFAIP3', 'HMOX1', 'SOD2']",2.118458228144456,foldChange,32,Negative regulation of smooth muscle cell proliferation ,3
positive regulation of cell population proliferation (GO:0008284),0.007854814482744417,"['CSF3', 'IL6', 'SFRP1', 'IL1B', 'NAMPT', 'LIF', 'HMOX1', 'NES', 'SOX4']",2.104864067794198,foldChange,32,Positive regulation of cell population proliferation ,9
negative regulation of programmed cell death (GO:0043069),0.008227697250396893,"['NFKBIA', 'NGFR', 'IL6', 'SFRP1', 'DHCR24', 'HSPA1B', 'IFIT3', 'HSPA1A']",2.0847216971548828,foldChange,32,Negative regulation of programmed cell death ,8
positive regulation of monocyte chemotactic protein-1 production (GO:0071639),0.008488478573342832,"['IL1B', 'OAS3']",2.071170143255762,foldChange,32,Positive regulation of monocyte chemotactic protein-1 production ,2
negative regulation of neurogenesis (GO:0050768),0.008750986504197806,"['NGFR', 'IL6', 'IL1B']",2.0579429859285674,foldChange,32,Negative regulation of neurogenesis ,3
cellular response to heat (GO:0034605),0.00943003530901992,"['HMOX1', 'HSPA1B', 'HSPA1A']",2.02548668112441,foldChange,32,Cellular response to heat ,3
negative regulation of cell migration (GO:0030336),0.009539345271770366,"['NGFR', 'IFITM1', 'SFRP1', 'STC1', 'HMOX1']",2.020481431859321,foldChange,32,Negative regulation of cell migration ,5
regulation of erythrocyte differentiation (GO:0045646),0.009539345271770366,"['HMGB2', 'HSPA1B', 'HSPA1A']",2.020481431859321,foldChange,32,Regulation of erythrocyte differentiation ,3
regulation of p38MAPK cascade (GO:1900744),0.009539345271770366,"['PER1', 'DUSP1', 'IL1B']",2.020481431859321,foldChange,32,Regulation of p38mapk cascade ,3
vascular transport (GO:0010232),0.009539345271770366,"['SLC2A1', 'SLC2A3', 'SLC29A1', 'SLC5A3']",2.020481431859321,foldChange,32,Vascular transport ,4
negative regulation of bone resorption (GO:0045779),0.009539345271770366,"['IL6', 'TNFAIP3']",2.020481431859321,foldChange,32,Negative regulation of bone resorption ,2
regulation of cell adhesion molecule production (GO:0060353),0.009539345271770366,"['CXCL8', 'IL1B']",2.020481431859321,foldChange,32,Regulation of cell adhesion molecule production ,2
negative regulation of lipid localization (GO:1905953),0.009539345271770366,"['NFKBIA', 'IL6']",2.020481431859321,foldChange,32,Negative regulation of lipid localization ,2
regulation of glial cell proliferation (GO:0060251),0.009539345271770366,"['IL6', 'IL1B']",2.020481431859321,foldChange,32,Regulation of glial cell proliferation ,2
DNA topological change (GO:0006265),0.009539345271770366,"['TOP2A', 'HMGB2']",2.020481431859321,foldChange,32,Dna topological change ,2
response to type I interferon (GO:0034340),0.009539345271770366,"['ISG15', 'IFIT1']",2.020481431859321,foldChange,32,Response to type i interferon ,2
isoprenoid biosynthetic process (GO:0008299),0.009539345271770366,"['IDI1', 'HMGCR']",2.020481431859321,foldChange,32,Isoprenoid biosynthetic process ,2
L-ascorbic acid metabolic process (GO:0019852),0.009539345271770366,"['SLC2A1', 'SLC2A3']",2.020481431859321,foldChange,32,L-ascorbic acid metabolic process ,2
positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265),0.009539345271770366,"['HSPA1B', 'HSPA1A']",2.020481431859321,foldChange,32,Positive regulation of tumor necrosis factor-mediated signaling pathway ,2
unsaturated fatty acid biosynthetic process (GO:0006636),0.009539345271770366,"['SCD', 'FADS1']",2.020481431859321,foldChange,32,Unsaturated fatty acid biosynthetic process ,2
negative regulation of innate immune response (GO:0045824),0.00972575817907923,"['OAS3', 'TNFAIP3', 'ISG15']",2.012076532916835,foldChange,32,Negative regulation of innate immune response ,3
regulation of interferon-gamma production (GO:0032649),0.00972575817907923,"['IL1R1', 'DDIT3', 'IL1B', 'ISG15']",2.012076532916835,foldChange,32,Regulation of interferon-gamma production ,4
transport across blood-brain barrier (GO:0150104),0.00972575817907923,"['SLC2A1', 'SLC2A3', 'SLC29A1', 'SLC5A3']",2.012076532916835,foldChange,32,Transport across blood-brain barrier ,4
positive regulation of hydrolase activity (GO:0051345),0.00972575817907923,"['SFRP1', 'CCL7', 'RGS16', 'HMGB2', 'CCL2']",2.012076532916835,foldChange,32,Positive regulation of hydrolase activity ,5
cytokine-mediated signaling pathway (GO:0019221),4.5208800787677023e-13,"['CSF3', 'IFITM1', 'CXCL8', 'CEBPD', 'IL24', 'CXCL1', 'IFIT1', 'CXCL3', 'PTGS2', 'CXCL2', 'IFIT3', 'SOCS3', 'UGCG', 'CCL8', 'CCL7', 'CCL2', 'IL1R1', 'MX1', 'LIF', 'ISG15', 'SOD2', 'NFKBIA', 'OAS2', 'IL1B', 'OAS3']",12.34477701294363,foldChange,40,Cytokine-mediated signaling pathway ,25
cellular response to cytokine stimulus (GO:0071345),1.850731311153544e-09,"['CSF3', 'CXCL8', 'CEBPD', 'DUSP1', 'IL1R1', 'IL24', 'LIF', 'CXCL1', 'IFIT1', 'PTGS2', 'CXCL2', 'SOCS3', 'SFRP1', 'CCL8', 'CCL7', 'IL1B', 'ANKRD1', 'CCL2', 'CHI3L1']",8.732656627467236,foldChange,40,Cellular response to cytokine stimulus ,19
secondary alcohol biosynthetic process (GO:1902653),1.002624170023304e-07,"['IDI1', 'HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'HMGCR', 'DHCR7']",6.998861830162598,foldChange,40,Secondary alcohol biosynthetic process ,7
chemokine-mediated signaling pathway (GO:0070098),1.002624170023304e-07,"['CXCL8', 'RBM15', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",6.998861830162598,foldChange,40,Chemokine-mediated signaling pathway ,8
cholesterol biosynthetic process (GO:0006695),1.002624170023304e-07,"['IDI1', 'HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'HMGCR', 'DHCR7']",6.998861830162598,foldChange,40,Cholesterol biosynthetic process ,7
response to interleukin-1 (GO:0070555),1.002624170023304e-07,"['SFRP1', 'CXCL8', 'CCL8', 'CCL7', 'IL1R1', 'IL1B', 'ANKRD1', 'CHI3L1', 'CCL2']",6.998861830162598,foldChange,40,Response to interleukin-1 ,9
cellular response to chemokine (GO:1990869),1.151847023097504e-07,"['CXCL8', 'CCL8', 'CCL7', 'DUSP1', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",6.938605195770594,foldChange,40,Cellular response to chemokine ,8
sterol biosynthetic process (GO:0016126),1.1655215082949062e-07,"['IDI1', 'HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'HMGCR', 'DHCR7']",6.933479707688146,foldChange,40,Sterol biosynthetic process ,7
cellular response to molecule of bacterial origin (GO:0071219),9.074376616388637e-07,"['CXCL8', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",6.0421832000507,foldChange,40,Cellular response to molecule of bacterial origin ,9
cellular response to lipopolysaccharide (GO:0071222),1.1897344428825145e-06,"['CXCL8', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.924549965381444,foldChange,40,Cellular response to lipopolysaccharide ,9
cellular response to lipid (GO:0071396),1.5383284901125063e-06,"['SFRP1', 'CXCL8', 'INSIG1', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.812950916673478,foldChange,40,Cellular response to lipid ,11
regulation of primary metabolic process (GO:0080090),1.97923550052452e-06,"['HELZ2', 'IDI1', 'HMGCS1', 'SCD', 'FASN', 'ODC1', 'DHCR7', 'HMGCR', 'LDLR']",5.703502527929368,foldChange,40,Regulation of primary metabolic process ,9
regulation of lipid metabolic process (GO:0019216),1.97923550052452e-06,"['HELZ2', 'IDI1', 'HMGCS1', 'SCD', 'IL1B', 'FASN', 'HMGCR', 'DHCR7']",5.703502527929368,foldChange,40,Regulation of lipid metabolic process ,8
cellular response to type I interferon (GO:0071357),3.0720714446970695e-06,"['IFITM1', 'OAS2', 'OAS3', 'MX1', 'ISG15', 'IFIT1', 'IFIT3']",5.512568688485286,foldChange,40,Cellular response to type i interferon ,7
type I interferon signaling pathway (GO:0060337),3.0720714446970695e-06,"['IFITM1', 'OAS2', 'OAS3', 'MX1', 'ISG15', 'IFIT1', 'IFIT3']",5.512568688485286,foldChange,40,Type i interferon signaling pathway ,7
regulation of viral genome replication (GO:0045069),3.5684665427149824e-06,"['IFITM1', 'CXCL8', 'OAS2', 'OAS3', 'MX1', 'ISG15', 'IFIT1']",5.447518370753032,foldChange,40,Regulation of viral genome replication ,7
negative regulation of viral process (GO:0048525),4.31935221990943e-06,"['IFITM1', 'OAS2', 'OAS3', 'MX1', 'ISG15', 'PTX3', 'IFIT1']",5.364581380132615,foldChange,40,Negative regulation of viral process ,7
neutrophil chemotaxis (GO:0030593),4.31935221990943e-06,"['CXCL8', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.364581380132615,foldChange,40,Neutrophil chemotaxis ,7
cellular response to oxygen-containing compound (GO:1901701),5.219553613703375e-06,"['JUN', 'SFRP1', 'CXCL8', 'INSIG1', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.282366637111714,foldChange,40,Cellular response to oxygen-containing compound ,12
granulocyte chemotaxis (GO:0071621),5.219553613703375e-06,"['CXCL8', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.282366637111714,foldChange,40,Granulocyte chemotaxis ,7
cellular response to interleukin-1 (GO:0071347),5.271070417354665e-06,"['NFKBIA', 'SFRP1', 'CCL8', 'CXCL8', 'CCL7', 'IL1R1', 'IL1B', 'ANKRD1', 'CCL2']",5.278101181913617,foldChange,40,Cellular response to interleukin-1 ,9
response to lipopolysaccharide (GO:0032496),6.2630466934254535e-06,"['CXCL8', 'IL1B', 'HMGB2', 'ANKRD1', 'TNFAIP3', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.203214350453981,foldChange,40,Response to lipopolysaccharide ,9
cholesterol metabolic process (GO:0008203),6.316066801093586e-06,"['IDI1', 'HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'HMGCR', 'DHCR7']",5.199553285377975,foldChange,40,Cholesterol metabolic process ,7
neutrophil migration (GO:1990266),6.316066801093586e-06,"['CXCL8', 'CCL8', 'CCL7', 'CCL2', 'CXCL1', 'CXCL3', 'CXCL2']",5.199553285377975,foldChange,40,Neutrophil migration ,7
inflammatory response (GO:0006954),1.2397879902045814e-05,"['CCL8', 'CXCL8', 'CCL7', 'IL1B', 'CCL2', 'CHI3L1', 'PTX3', 'CXCL1', 'CXCL3', 'CXCL2']",4.906652574963911,foldChange,40,Inflammatory response ,10
negative regulation of viral genome replication (GO:0045071),1.45969363529702e-05,"['IFITM1', 'OAS2', 'OAS3', 'MX1', 'ISG15', 'IFIT1']",4.835738285627685,foldChange,40,Negative regulation of viral genome replication ,6
response to tumor necrosis factor (GO:0034612),6.495568953192473e-05,"['SFRP1', 'CCL8', 'CXCL8', 'CCL7', 'ANKRD1', 'CCL2', 'CHI3L1']",4.1873828026494495,foldChange,40,Response to tumor necrosis factor ,7
regulation of nuclease activity (GO:0032069),0.00011388090778707288,"['OAS2', 'OAS3', 'HMGB2']",3.9435490795884376,foldChange,40,Regulation of nuclease activity ,3
defense response to symbiont (GO:0140546),0.00013513907557075315,"['IFITM1', 'OAS2', 'OAS3', 'MX1', 'ISG15', 'IFIT1', 'IFIT3']",3.8692190562257096,foldChange,40,Defense response to symbiont ,7
negative regulation of cell population proliferation (GO:0008285),0.00013594652972439528,"['FABP3', 'IFITM1', 'SFRP1', 'CXCL8', 'IL1B', 'TNFAIP3', 'CXCL1', 'SOD2', 'HSPA1B', 'IFIT3', 'HSPA1A']",3.866631874069726,foldChange,40,Negative regulation of cell population proliferation ,11
response to unfolded protein (GO:0006986),0.00019397070065529703,"['DDIT3', 'HSPA4L', 'HSPB3', 'HSPA1B', 'HSPA1A']",3.7122638654548408,foldChange,40,Response to unfolded protein ,5
defense response to virus (GO:0051607),0.00019511819748321157,"['IFITM1', 'OAS2', 'OAS3', 'MX1', 'ISG15', 'IFIT1', 'IFIT3']",3.709702224721338,foldChange,40,Defense response to virus ,7
negative regulation of protein ubiquitination (GO:0031397),0.00022269994905895407,"['DTX3L', 'TNFAIP3', 'ISG15', 'HSPA1B', 'HSPA1A']",3.6522798823077567,foldChange,40,Negative regulation of protein ubiquitination ,5
regulation of cell population proliferation (GO:0042127),0.00022366198471728132,"['CSF3', 'JUN', 'IFITM1', 'CXCL8', 'LIF', 'HMGB2', 'CXCL1', 'SOD2', 'IFIT3', 'FABP3', 'SFRP1', 'IL1B', 'NAMPT', 'HSPA1B', 'HSPA1A']",3.6504078256061008,foldChange,40,Regulation of cell population proliferation ,15
cellular response to tumor necrosis factor (GO:0071356),0.00022366198471728132,"['NFKBIA', 'SFRP1', 'CCL8', 'CXCL8', 'CCL7', 'ANKRD1', 'CCL2', 'CHI3L1']",3.6504078256061008,foldChange,40,Cellular response to tumor necrosis factor ,8
response to type I interferon (GO:0034340),0.0003679748612077076,"['MX1', 'ISG15', 'IFIT1']",3.43418184983652,foldChange,40,Response to type i interferon ,3
response to cytokine (GO:0034097),0.00037233459420121643,"['CSF3', 'IFITM1', 'IL1R1', 'IL1B', 'MX1', 'CHI3L1', 'ISG15']",3.4290666109137127,foldChange,40,Response to cytokine ,7
negative regulation of multicellular organismal process (GO:0051241),0.0004219437297310399,"['SFRP1', 'GDF15', 'IL1B', 'DDIT3', 'ARRDC3', 'STC1', 'SPRY1', 'HMGCR']",3.374745462537722,foldChange,40,Negative regulation of multicellular organismal process ,8
positive regulation of interleukin-8 production (GO:0032757),0.0004587426711442884,"['DDIT3', 'IL1B', 'CHI3L1', 'HSPA1B', 'HSPA1A']",3.338430860956789,foldChange,40,Positive regulation of interleukin-8 production ,5
PERK-mediated unfolded protein response (GO:0036499),0.0006458130889360353,"['CXCL8', 'DDIT3', 'CCL2']",3.189893157220546,foldChange,40,Perk-mediated unfolded protein response ,3
response to molecule of bacterial origin (GO:0002237),0.0010507467513959422,"['CXCL8', 'IL1B', 'HMGB2', 'TNFAIP3', 'CXCL2']",2.9785019440329674,foldChange,40,Response to molecule of bacterial origin ,5
positive regulation of myeloid cell differentiation (GO:0045639),0.0010831592028473314,"['CSF3', 'HMGB2', 'HSPA1B', 'HSPA1A']",2.965307706037024,foldChange,40,Positive regulation of myeloid cell differentiation ,4
positive regulation of acute inflammatory response (GO:0002675),0.001582298731834772,"['IL1B', 'C2CD4A', 'PTGS2']",2.8007115199915256,foldChange,40,Positive regulation of acute inflammatory response ,3
integrated stress response signaling (GO:0140467),0.001582298731834772,"['CXCL8', 'DDIT3', 'CCL2']",2.8007115199915256,foldChange,40,Integrated stress response signaling ,3
regulation of interleukin-8 production (GO:0032677),0.001582298731834772,"['DDIT3', 'IL1B', 'CHI3L1', 'HSPA1B', 'HSPA1A']",2.8007115199915256,foldChange,40,Regulation of interleukin-8 production ,5
negative regulation of signal transduction (GO:0009968),0.0016923785193746666,"['NR4A2', 'SFRP1', 'CXCL8', 'GDF15', 'IL1B', 'TNFAIP3', 'SPRY1', 'APCDD1']",2.7715024956169505,foldChange,40,Negative regulation of signal transduction ,8
eosinophil chemotaxis (GO:0048245),0.0017936454201393556,"['CCL8', 'CCL7', 'CCL2']",2.74626340705389,foldChange,40,Eosinophil chemotaxis ,3
eosinophil migration (GO:0072677),0.0017936454201393556,"['CCL8', 'CCL7', 'CCL2']",2.74626340705389,foldChange,40,Eosinophil migration ,3
positive regulation of hydrolase activity (GO:0051345),0.002809443462194629,"['SFRP1', 'CCL8', 'CCL7', 'RGS16', 'HMGB2', 'CCL2']",2.5513797033106567,foldChange,40,Positive regulation of hydrolase activity ,6
organic hydroxy compound biosynthetic process (GO:1901617),0.0030186164170799357,"['INSIG1', 'MSMO1', 'HMGCR', 'DHCR7']",2.5201920703255127,foldChange,40,Organic hydroxy compound biosynthetic process ,4
negative regulation of cellular process (GO:0048523),0.0032061213867175167,"['FABP3', 'IFITM1', 'SFRP1', 'CXCL8', 'DUSP1', 'IL1B', 'CXCL1', 'SOD2', 'HSPA1B', 'IFIT3', 'HSPA1A']",2.4940200388803104,foldChange,40,Negative regulation of cellular process ,11
glucose transmembrane transport (GO:1904659),0.003321860116160733,"['SLC2A1', 'SLC2A3', 'SLC5A3']",2.478618659680709,foldChange,40,Glucose transmembrane transport ,3
negative regulation of apoptotic process (GO:0043066),0.003958495551948803,"['NFKBIA', 'NR4A2', 'NGFR', 'SFRP1', 'CCL2', 'DHCR24', 'SOD2', 'HSPA1B', 'IFIT3', 'HSPA1A']",2.402469838728608,foldChange,40,Negative regulation of apoptotic process ,10
negative regulation of protein modification by small protein conjugation or removal (GO:1903321),0.004060777648392915,"['TNFAIP3', 'ISG15', 'HSPA1B', 'HSPA1A']",2.391390790051882,foldChange,40,Negative regulation of protein modification by small protein conjugation or removal ,4
regulation of mitotic nuclear division (GO:0007088),0.004576578573379825,"['CCNB1', 'DUSP1', 'IL1B', 'MKI67']",2.339459077016027,foldChange,40,Regulation of mitotic nuclear division ,4
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240),0.004576578573379825,"['IL1B', 'HSPA1B', 'HSPA1A']",2.339459077016027,foldChange,40,Negative regulation of extrinsic apoptotic signaling pathway in absence of ligand ,3
negative regulation of signal transduction in absence of ligand (GO:1901099),0.004576578573379825,"['IL1B', 'HSPA1B', 'HSPA1A']",2.339459077016027,foldChange,40,Negative regulation of signal transduction in absence of ligand ,3
hexose transmembrane transport (GO:0008645),0.004576578573379825,"['SLC2A1', 'SLC2A3', 'SLC5A3']",2.339459077016027,foldChange,40,Hexose transmembrane transport ,3
regulation of fever generation (GO:0031620),0.0048615052277167555,"['IL1B', 'PTGS2']",2.3132292429024783,foldChange,40,Regulation of fever generation ,2
regulation of ribonuclease activity (GO:0060700),0.0048615052277167555,"['OAS2', 'OAS3']",2.3132292429024783,foldChange,40,Regulation of ribonuclease activity ,2
regulation of T-helper 1 cell cytokine production (GO:2000554),0.0048615052277167555,"['IL1R1', 'IL1B']",2.3132292429024783,foldChange,40,Regulation of t-helper 1 cell cytokine production ,2
glucose import across plasma membrane (GO:0098708),0.0048615052277167555,"['SLC2A1', 'SLC2A3']",2.3132292429024783,foldChange,40,Glucose import across plasma membrane ,2
positive regulation of heat generation (GO:0031652),0.0048615052277167555,"['IL1B', 'PTGS2']",2.3132292429024783,foldChange,40,Positive regulation of heat generation ,2
