,path_name,adj_p_val,overlapping_genes,mode
13,G2/M transition of mitotic cell cycle (GO:0000086),1.2243586633193615e-12,"['PLK4', 'HSP90AA1', 'TUBB', 'PLK1', 'PKMYT1', 'FOXM1', 'DYNLL1', 'TUBG1', 'TUBB4B', 'TUBA4A', 'AURKA', 'CCNA2', 'MELK', 'CENPJ', 'CDK1', 'CDK5RAP2', 'CEP78']",2
14,cell cycle G2/M phase transition (GO:0044839),1.3017660289745503e-12,"['PLK4', 'HSP90AA1', 'TUBB', 'PLK1', 'PKMYT1', 'FOXM1', 'DYNLL1', 'TUBG1', 'TUBB4B', 'TUBA4A', 'AURKA', 'CCNA2', 'MELK', 'CENPJ', 'CDK1', 'CDK5RAP2', 'CEP78']",2
15,mitotic chromosome condensation (GO:0007076),4.075894795013587e-12,"['CDCA5', 'NCAPG2', 'PLK1', 'CDK1', 'NCAPG', 'NCAPD2', 'NCAPD3', 'SMC4', 'NCAPH', 'SMC2']",2
16,DNA repair (GO:0006281),2.0475072114684813e-11,"['H2AX', 'FANCI', 'POLQ', 'FEN1', 'RFC3', 'LIG1', 'CDCA5', 'FANCA', 'SMC1A', 'TICRR', 'RECQL4', 'FAM111A', 'POLA1', 'EME1', 'FANCD2', 'POLD1', 'NSD2', 'CDK1', 'DNA2', 'KPNA2', 'POLE', 'POLH']",2
17,positive regulation of cell cycle process (GO:0090068),9.45118858683782e-11,"['PLK4', 'FEN1', 'SPAG5', 'KIF14', 'KIF23', 'NDC80', 'AURKB', 'CIT', 'AURKA', 'DBF4', 'RACGAP1', 'KIF20B', 'ECT2', 'MAD2L1']",2
18,mitotic metaphase plate congression (GO:0007080),1.5071276015469268e-10,"['NUDC', 'KIFC1', 'CDCA5', 'NUF2', 'KIF14', 'CDCA8', 'KIF2C', 'SPDL1', 'KIF22', 'CEP55', 'NDC80']",2
19,DNA metabolic process (GO:0006259),3.313533568997716e-10,"['TOP2A', 'POLQ', 'FEN1', 'RFC3', 'LIG1', 'FANCA', 'HMGB2', 'TYMS', 'SMC1A', 'TICRR', 'RECQL4', 'POLA1', 'DBF4', 'POLD1', 'POLE3', 'CDK1', 'DNA2', 'KPNA2', 'POLE', 'POLH']",2
20,protein localization to kinetochore (GO:0034501),1.5579172381006287e-09,"['CENPT', 'ZWILCH', 'CDK1', 'TTK', 'KNL1', 'SPDL1', 'AURKB']",2
21,regulation of mitotic cell cycle (GO:0007346),1.6389994679137994e-09,"['UBE2C', 'PLK1', 'BUB1B', 'SCRIB', 'MKI67', 'PKMYT1', 'PSMC3', 'UBE2S', 'PSMD2', 'CDK1', 'CKS2', 'PSMD1', 'FBXO5', 'KIF20B', 'DLGAP5', 'MAD2L1']",2
22,anaphase-promoting complex-dependent catabolic process (GO:0031145),2.1118303772561234e-09,"['PSMC3', 'UBE2C', 'UBE2S', 'PSMD2', 'PLK1', 'CDK1', 'BUB1B', 'PSMD1', 'FBXO5', 'AURKB', 'AURKA', 'MAD2L1']",2
23,DNA replication (GO:0006260),2.836780099117311e-09,"['PIF1', 'FEN1', 'RFC3', 'TICRR', 'RECQL4', 'FAM111A', 'POLA1', 'DBF4', 'POLD1', 'POLE3', 'CDK1', 'DNA2', 'POLE']",2
24,regulation of cell cycle phase transition (GO:1901987),8.211135130220013e-09,"['DBF4', 'PSMC3', 'UBE2C', 'UBE2S', 'PSMD2', 'PLK1', 'CDK1', 'BUB1B', 'PSMD1', 'FBXO5', 'GTSE1', 'MAD2L1']",2
25,ciliary basal body-plasma membrane docking (GO:0097711),8.211135130220013e-09,"['PLK4', 'HSP90AA1', 'TUBB', 'CENPJ', 'PLK1', 'CDK1', 'DYNLL1', 'TUBG1', 'TUBB4B', 'TUBA4A', 'CDK5RAP2', 'CEP78']",2
26,DNA strand elongation involved in DNA replication (GO:0006271),1.0861856122549723e-08,"['GINS1', 'POLA1', 'RFC3', 'LIG1', 'GINS4', 'POLE3', 'POLE']",2
27,DNA-dependent DNA replication (GO:0006261),2.3146333011388012e-08,"['GINS1', 'RFC3', 'GINS4', 'RECQL4', 'POLA1', 'DBF4', 'PSMC3', 'PSMD2', 'POLD1', 'POLE3', 'PSMD1', 'DNA2', 'POLE']",2
28,regulation of cytokinesis (GO:0032465),2.8906137922494694e-08,"['PLK4', 'RACGAP1', 'PLK1', 'KIF14', 'KIF23', 'KIF20A', 'KIF20B', 'ECT2', 'AURKB', 'CIT', 'AURKA']",2
29,protein localization to condensed chromosome (GO:1903083),3.0543709687861026e-08,"['ZWILCH', 'CDK1', 'TTK', 'KNL1', 'SPDL1', 'AURKB']",2
30,negative regulation of mitotic metaphase/anaphase transition (GO:0045841),4.900985516929882e-08,"['PLK1', 'BUB1B', 'TTK', 'FBXO5', 'BUB1', 'ZWINT', 'MAD2L1']",2
31,DNA biosynthetic process (GO:0071897),3.567320035243076e-07,"['POLA1', 'RFC3', 'POLD1', 'TYMS', 'POLE', 'POLH']",2
32,"protein localization to chromosome, centromeric region (GO:0071459)",3.567320035243076e-07,"['ZWILCH', 'CDK1', 'TTK', 'KNL1', 'SPDL1', 'AURKB']",2
33,mitotic spindle assembly (GO:0090307),3.740272848084928e-07,"['TPX2', 'RACGAP1', 'KIFC1', 'KIF4A', 'KIF23', 'KIF11', 'SMC1A', 'AURKB']",2
34,establishment of mitotic spindle localization (GO:0040001),3.744165762520999e-07,"['ESPL1', 'SAPCD2', 'PLK1', 'SPDL1', 'NDC80', 'CDK5RAP2', 'MAD2L1']",2
35,spindle assembly checkpoint signaling (GO:0071173),1.3138034610637227e-06,"['PLK1', 'BUB1B', 'TTK', 'BUB1', 'ZWINT', 'MAD2L1']",2
36,mitotic spindle assembly checkpoint signaling (GO:0007094),1.3138034610637227e-06,"['PLK1', 'BUB1B', 'TTK', 'BUB1', 'ZWINT', 'MAD2L1']",2
37,mitotic spindle checkpoint signaling (GO:0071174),1.3138034610637227e-06,"['PLK1', 'BUB1B', 'TTK', 'BUB1', 'ZWINT', 'MAD2L1']",2
38,positive regulation of cytokinesis (GO:0032467),2.071453323925665e-06,"['RACGAP1', 'KIF14', 'KIF23', 'ECT2', 'KIF20B', 'AURKB', 'CIT']",2
39,establishment of mitotic spindle orientation (GO:0000132),3.019412974275984e-06,"['SAPCD2', 'PLK1', 'SPDL1', 'NDC80', 'CDK5RAP2', 'MAD2L1']",2
40,regulation of mitotic metaphase/anaphase transition (GO:0030071),4.955593983844636e-06,"['ESPL1', 'UBE2C', 'PLK1', 'FBXO5', 'DLGAP5', 'CDK5RAP2']",2
41,positive regulation of cell division (GO:0051781),6.748036917242921e-06,"['RACGAP1', 'KIF14', 'KIF23', 'ECT2', 'KIF20B', 'AURKB', 'CIT']",2
42,establishment of spindle orientation (GO:0051294),1.178719948400152e-05,"['SAPCD2', 'PLK1', 'SPDL1', 'NDC80', 'CDK5RAP2', 'MAD2L1']",2
43,base-excision repair (GO:0006284),1.196502651883934e-05,"['POLQ', 'FEN1', 'RFC3', 'LIG1', 'POLD1', 'DNA2', 'POLE']",2
44,cellular response to DNA damage stimulus (GO:0006974),1.2606585750358366e-05,"['TOP2A', 'H2AX', 'POLQ', 'FEN1', 'RFC3', 'LIG1', 'FANCA', 'SMC1A', 'TICRR', 'RECQL4', 'FAM111A', 'POLA1', 'POLD1', 'POLE3', 'CDK1', 'POLH']",2
45,antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886),1.4901535008911185e-05,"['RACGAP1', 'KIF4A', 'AP2A1', 'KIF23', 'KIF2C', 'KIF11', 'KIF22', 'DYNLL1', 'KIF15']",2
46,mitotic spindle elongation (GO:0000022),1.53352293725273e-05,"['RACGAP1', 'KIF4A', 'KIF23', 'AURKB']",2
47,mitotic spindle midzone assembly (GO:0051256),1.53352293725273e-05,"['RACGAP1', 'KIF4A', 'KIF23', 'AURKB']",2
48,cellular macromolecule biosynthetic process (GO:0034645),1.53352293725273e-05,"['PIF1', 'FEN1', 'RFC3', 'TYMS', 'TICRR', 'RECQL4', 'FAM111A', 'POLA1', 'DBF4', 'POLD1', 'POLE3', 'CDK1', 'RPL26', 'DNA2', 'POLE']",2
49,antigen processing and presentation of peptide antigen via MHC class II (GO:0002495),1.6289302212692754e-05,"['RACGAP1', 'KIF4A', 'AP2A1', 'KIF23', 'KIF2C', 'KIF11', 'KIF22', 'DYNLL1', 'KIF15']",2
50,double-strand break repair (GO:0006302),1.813285608663212e-05,"['H2AX', 'RECQL4', 'POLA1', 'POLQ', 'FEN1', 'EME1', 'CDCA5', 'NSD2', 'HMGB2', 'DNA2', 'KPNA2']",2
51,proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),1.9064820135314705e-05,"['UBE2C', 'CCNF', 'PLK1', 'KIF14', 'BUB1B', 'AURKB', 'AURKA', 'UCHL1', 'PSMC3', 'UBE2S', 'PSMD2', 'CDK1', 'PSMD1', 'FBXO5', 'MAD2L1']",2
52,antigen processing and presentation of exogenous peptide antigen (GO:0002478),1.9758627454610472e-05,"['RACGAP1', 'KIF4A', 'AP2A1', 'KIF23', 'KIF2C', 'KIF11', 'KIF22', 'DYNLL1', 'KIF15']",2
53,chromosome organization (GO:0051276),2.4728776709410043e-05,"['TOP2A', 'CENPT', 'NUF2', 'POLE3', 'HMGB2', 'CDCA8', 'HMGN2', 'NDC80', 'PHF19']",2
54,centromere complex assembly (GO:0034508),3.403990073608419e-05,"['CENPT', 'CENPI', 'HJURP', 'KNL1', 'CENPO', 'DLGAP5']",2
55,regulation of ubiquitin protein ligase activity (GO:1904666),3.410367779411508e-05,"['UBE2C', 'UBE2S', 'PLK1', 'FBXO5', 'MAD2L1']",2
56,regulation of attachment of spindle microtubules to kinetochore (GO:0051988),3.8335431567463255e-05,"['RACGAP1', 'SPAG5', 'ECT2', 'KNSTRN']",2
57,regulation of exit from mitosis (GO:0007096),4.379878480082682e-05,"['ANLN', 'UBE2C', 'UBE2S', 'CDCA5', 'BUB1B', 'MAD2L1']",2
58,DNA replication-independent nucleosome assembly (GO:0006336),4.379878480082682e-05,"['CENPT', 'CENPI', 'HJURP', 'KNL1', 'CENPO', 'ASF1B']",2
59,mitotic cell cycle checkpoint signaling (GO:0007093),5.1785078290857466e-05,"['ZWILCH', 'BUB1B', 'BUB1', 'AURKB', 'ZWINT']",2
60,cilium assembly (GO:0060271),6.560503699668862e-05,"['PLK4', 'DYNC2I2', 'HSP90AA1', 'TUBB', 'PLK1', 'TUBG1', 'DYNLL1', 'TUBB4B', 'TUBA4A', 'CENPJ', 'WDR90', 'CDK1', 'CDK5RAP2', 'CEP78']",2
61,cell cycle checkpoint signaling (GO:0000075),8.048221152359048e-05,"['ZWILCH', 'BUB1B', 'BUB1', 'ZWINT']",2
62,regulation of sister chromatid cohesion (GO:0007063),8.048221152359048e-05,"['FEN1', 'ESPL1', 'CDCA5', 'BUB1']",2
63,microtubule polymerization or depolymerization (GO:0031109),0.0001117940527916991,"['KIF18B', 'CENPJ', 'STMN1', 'KIF14', 'KIF2C']",2
64,kinetochore organization (GO:0051383),0.0001117940527916991,"['CENPT', 'NUF2', 'NDC80', 'DLGAP5']",2
65,negative regulation of mitotic cell cycle (GO:0045930),0.00013665643368856951,"['ZWILCH', 'BUB1B', 'SCRIB', 'BUB1', 'ZWINT', 'MAD2L1']",2
66,CENP-A containing chromatin organization (GO:0061641),0.0001828140369256969,"['CENPT', 'CENPI', 'HJURP', 'KNL1', 'CENPO']",2
67,CENP-A containing nucleosome assembly (GO:0034080),0.0001828140369256969,"['CENPT', 'CENPI', 'HJURP', 'KNL1', 'CENPO']",2
68,regulation of cellular response to heat (GO:1900034),0.00023127067729148036,"['NDC1', 'DNAJB1', 'HSPA8', 'HSP90AA1', 'HSPH1', 'NUP85', 'FKBP4']",2
69,chromatin remodeling at centromere (GO:0031055),0.00024691318131315234,"['CENPT', 'CENPI', 'HJURP', 'KNL1', 'CENPO']",2
70,regulation of mitotic nuclear division (GO:0007088),0.00034862075022470095,"['FBXO5', 'MKI67', 'KIF20B', 'PKMYT1', 'CDK5RAP2', 'AURKA']",2
71,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)",0.00035879846571013556,"['RACGAP1', 'KIF4A', 'KIF23', 'KIF2C', 'KIF11', 'KIF22', 'KIF15']",2
72,"base-excision repair, gap-filling (GO:0006287)",0.00037000170126592576,"['FEN1', 'RFC3', 'LIG1', 'POLD1', 'POLE']",2
73,positive regulation of mitotic cell cycle phase transition (GO:1901992),0.00037000170126592576,"['ESPL1', 'UBE2C', 'CDCA5', 'CDK1', 'FBXO5', 'DLGAP5']",2
74,regulation of cellular response to stress (GO:0080135),0.0003723198709834725,"['NDC1', 'HSPA8', 'DNAJB1', 'HSP90AA1', 'HSPH1', 'NUP85', 'FKBP4', 'MANF']",2
75,regulation of chromosome segregation (GO:0051983),0.00038337108035717705,"['KIF2C', 'MKI67', 'BUB1', 'AURKB']",2
76,DNA strand elongation (GO:0022616),0.00038337108035717705,"['GINS1', 'POLA1', 'RFC3', 'GINS4']",2
77,microtubule depolymerization (GO:0007019),0.00038337108035717705,"['KIF18B', 'STMN1', 'KIF14', 'KIF2C']",2
78,regulation of centriole replication (GO:0046599),0.00047571321463465164,"['PLK4', 'STIL', 'CENPJ', 'CDK5RAP2']",2
79,histone exchange (GO:0043486),0.0005129353766355603,"['CENPT', 'CENPI', 'HJURP', 'KNL1', 'CENPO']",2
80,regulation of nuclear division (GO:0051783),0.0005754323274737731,"['FBXO5', 'MKI67', 'PKMYT1', 'KIF20B']",2
81,meiotic sister chromatid cohesion (GO:0051177),0.0007287097485906056,"['SGO2', 'BUB1B', 'BUB1']",2
82,ubiquitin-dependent protein catabolic process (GO:0006511),0.0008225573059837113,"['UBE2C', 'PLK1', 'ADRM1', 'KIF14', 'BUB1B', 'AURKB', 'AURKA', 'UCHL1', 'PSMC3', 'UBE2S', 'PSMD2', 'PSMD1', 'MAD2L1']",2
83,DNA synthesis involved in DNA repair (GO:0000731),0.0008890611752664537,"['POLA1', 'RFC3', 'POLD1', 'POLE', 'POLH']",2
84,DNA-dependent DNA replication maintenance of fidelity (GO:0045005),0.0008890611752664537,"['FAM111A', 'EME1', 'POLD1', 'ALYREF', 'POLE']",2
85,"nucleotide-excision repair, DNA gap filling (GO:0006297)",0.0011520048405137813,"['RFC3', 'LIG1', 'POLD1', 'POLE']",2
86,regulation of DNA metabolic process (GO:0051052),0.0012072534016655135,"['PIF1', 'ALYREF', 'KPNA2', 'POLH', 'TICRR']",2
87,mitotic DNA replication (GO:1902969),0.001431592953446367,"['GINS1', 'POLA1', 'LIG1']",2
88,regulation of cell division (GO:0051302),0.001431592953446367,"['PLK4', 'KIF18B', 'PLK1', 'KIF20A', 'AURKB', 'AURKA']",2
89,DNA geometric change (GO:0032392),0.0015247064609591984,"['RECQL4', 'PIF1', 'HMGB2', 'DNA2']",2
90,nucleobase-containing small molecule interconversion (GO:0015949),0.001756414799853381,"['DTYMK', 'RRM1', 'RRM2', 'TYMS']",2
91,regulation of microtubule polymerization or depolymerization (GO:0031110),0.0019894687746764327,"['STMN1', 'SKA3', 'FKBP4', 'SKA1']",2
92,protein depolymerization (GO:0051261),0.0019894687746764327,"['KIF18B', 'STMN1', 'KIF14', 'KIF2C']",2
93,attachment of mitotic spindle microtubules to kinetochore (GO:0051315),0.0023990540463505092,"['NUF2', 'KIF2C', 'NDC80']",2
94,positive regulation of ubiquitin protein ligase activity (GO:1904668),0.0023990540463505092,"['UBE2C', 'UBE2S', 'PLK1']",2
95,G1/S transition of mitotic cell cycle (GO:0000082),0.002464837754008695,"['POLA1', 'DBF4', 'RRM2', 'FBXO5', 'TYMS', 'POLE']",2
96,regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266),0.0030319968963886017,"['NDC80', 'CDK5RAP2', 'MAD2L1']",2
97,regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083),0.0032138020914836076,"['POLA1', 'RRM2', 'FBXO5', 'TYMS']",2
98,mitotic DNA damage checkpoint signaling (GO:0044773),0.0034883365796750214,"['EME1', 'FANCD2', 'PLK1', 'CDK1', 'TICRR']",2
99,double-strand break repair via nonhomologous end joining (GO:0006303),0.004357014972073253,"['H2AX', 'POLQ', 'POLA1', 'NSD2', 'HMGB2']",2
100,regulation of intracellular signal transduction (GO:1902531),0.005302590246923973,"['ARHGAP11A', 'RFC3', 'ARHGAP19', 'ITFG2', 'AURKB', 'AURKA', 'TPX2', 'DEPDC1B', 'RACGAP1', 'CDK1', 'DNA2', 'ECT2', 'FAM83D']",2
101,regulation of mitotic sister chromatid separation (GO:0010965),0.0055221895769861674,"['UBE2C', 'PLK1', 'TACC3']",2
102,negative regulation of G2/M transition of mitotic cell cycle (GO:0010972),0.005656706146059393,"['PSMC3', 'PSMD2', 'PSMD1', 'AURKB', 'AURKA']",2
103,DNA replication initiation (GO:0006270),0.005932143920426974,"['POLA1', 'DBF4', 'POLE3', 'POLE']",2
104,replication fork processing (GO:0031297),0.006496334867180119,"['FAM111A', 'EME1', 'ALYREF', 'DNA2']",2
105,"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",0.009289583062245498,"['CDK1', 'RPL26', 'FOXM1', 'GTSE1', 'AURKA']",2
0,mitotic spindle organization (GO:0007052),8.047219176358138e-06,"['ERCC6L', 'ZWILCH', 'DYNLL2', 'NSL1', 'MZT1', 'SKA2', 'CDC20', 'TPX2', 'CCNB1', 'NUF2', 'BIRC5', 'DLGAP5', 'MAD2L1']",3
1,DNA metabolic process (GO:0006259),1.2731785106125367e-05,"['TOP2A', 'BLM', 'RFC3', 'PCNA', 'RFC4', 'XRCC5', 'RECQL', 'HMGB3', 'DDX21', 'HMGB1', 'GTF2H3', 'POLE3', 'UBE2V2', 'TOP1', 'KPNA2', 'DCTPP1']",3
2,microtubule cytoskeleton organization involved in mitosis (GO:1902850),2.7467640258694332e-05,"['CDC20', 'ERCC6L', 'CCNB1', 'ZWILCH', 'NUF2', 'BIRC5', 'DYNLL2', 'DLGAP5', 'NSL1', 'SKA2', 'MAD2L1']",3
3,regulation of mitotic cell cycle phase transition (GO:1901990),0.00013587261164868416,"['CDC20', 'PLK4', 'TPX2', 'PSMD12', 'CCNB1', 'HSP90AA1', 'PSMA4', 'UBE2C', 'UBE2S', 'NEK2', 'HMMR', 'MAD2L1']",3
4,positive regulation of DNA biosynthetic process (GO:2000573),0.0006147391300418447,"['CCT6A', 'HSP90AA1', 'RFC3', 'RFC4', 'PCNA', 'XRCC5', 'NEK2']",3
5,ribonucleoprotein complex assembly (GO:0022618),0.0017876541841049115,"['HSP90AA1', 'NCBP1', 'SNRPD1', 'XRCC5', 'SRSF1', 'POLR2D', 'SNRPE', 'BRIX1', 'SNRPF']",3
6,"tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)",0.0017876541841049115,"['TSEN15', 'RTCB', 'FAM98B', 'RTRAF']",3
7,regulation of mitotic cell cycle (GO:0007346),0.0017876541841049115,"['CDC20', 'PSMD12', 'CCNB1', 'PSMA4', 'UBE2C', 'UBE2S', 'CKS2', 'NEK2', 'DLGAP5', 'MAD2L1']",3
8,DNA replication (GO:0006260),0.0017876541841049115,"['FAM111B', 'BLM', 'RFC3', 'DUT', 'RFC4', 'POLE3', 'DONSON', 'TOP1']",3
9,"RNA splicing, via endonucleolytic cleavage and ligation (GO:0000394)",0.0019866749486334725,"['TSEN15', 'RTCB', 'FAM98B', 'RTRAF']",3
10,anaphase-promoting complex-dependent catabolic process (GO:0031145),0.002389865182731914,"['CDC20', 'PSMD12', 'CCNB1', 'PSMA4', 'UBE2C', 'UBE2S', 'MAD2L1']",3
11,DNA conformation change (GO:0071103),0.0025294305444206627,"['TOP2A', 'HMGB3', 'HMGB1', 'TOP1']",3
12,DNA strand elongation involved in DNA replication (GO:0006271),0.0025294305444206627,"['RFC3', 'PCNA', 'RFC4', 'POLE3']",3
13,regulation of exit from mitosis (GO:0007096),0.002784133920619146,"['CDC20', 'UBE2C', 'UBE2S', 'NEK2', 'MAD2L1']",3
14,double-strand break repair (GO:0006302),0.002784133920619146,"['SEM1', 'H2AX', 'BLM', 'XRCC5', 'RNF138', 'RECQL', 'UBE2V2', 'HMGB1', 'KPNA2']",3
15,tRNA processing (GO:0008033),0.002784133920619146,"['SSB', 'TRMT10C', 'TSEN15', 'RTCB', 'FAM98B', 'RTRAF']",3
16,nucleocytoplasmic transport (GO:0006913),0.002784133920619146,"['ANP32A', 'NCBP1', 'SNRPD1', 'SNRPE', 'SNRPF']",3
17,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",0.002784133920619146,"['HNRNPM', 'NCBP1', 'SNRPD1', 'PSPC1', 'SRSF1', 'POLR2D', 'HNRNPR', 'SNRPE', 'SNRPB2', 'SNRPF', 'LSM5']",3
18,DNA-dependent DNA replication (GO:0006261),0.002784133920619146,"['BLM', 'PSMD12', 'RFC3', 'RFC4', 'PSMA4', 'POLE3', 'RECQL', 'DDX21']",3
19,regulation of cell cycle phase transition (GO:1901987),0.002784133920619146,"['CDC20', 'PSMD12', 'CCNB1', 'PSMA4', 'UBE2C', 'UBE2S', 'MAD2L1']",3
20,mRNA metabolic process (GO:0016071),0.002784133920619146,"['SSB', 'NCBP1', 'SRSF1', 'HNRNPR', 'SNRPE', 'SNRPF', 'LSM5']",3
21,regulation of ubiquitin protein ligase activity (GO:1904666),0.002787432671232459,"['CDC20', 'UBE2C', 'UBE2S', 'MAD2L1']",3
22,mRNA processing (GO:0006397),0.002787432671232459,"['HNRNPM', 'NCBP1', 'SNRPD1', 'PSPC1', 'SRSF1', 'POLR2D', 'HNRNPR', 'SNRPE', 'SNRPB2', 'SNRPF', 'GTF2H3', 'LSM5']",3
23,aerobic electron transport chain (GO:0019646),0.0034941539239703953,"['UQCRB', 'NDUFA5', 'UQCRFS1', 'CYCS', 'SDHD', 'COX5B']",3
24,mitochondrial ATP synthesis coupled electron transport (GO:0042775),0.0034941539239703953,"['UQCRB', 'NDUFA5', 'UQCRFS1', 'CYCS', 'SDHD', 'COX5B']",3
25,regulation of DNA-directed DNA polymerase activity (GO:1900262),0.0034941539239703953,"['RFC3', 'PCNA', 'RFC4']",3
26,DNA topological change (GO:0006265),0.0034941539239703953,"['TOP2A', 'HMGB1', 'TOP1']",3
27,positive regulation of DNA-directed DNA polymerase activity (GO:1900264),0.0034941539239703953,"['RFC3', 'PCNA', 'RFC4']",3
28,"mRNA splicing, via spliceosome (GO:0000398)",0.004402619581743786,"['HNRNPM', 'NCBP1', 'SNRPD1', 'PSPC1', 'SRSF1', 'POLR2D', 'HNRNPR', 'SNRPE', 'SNRPB2', 'SNRPF', 'LSM5']",3
29,regulation of attachment of spindle microtubules to kinetochore (GO:0051988),0.004624557964945913,"['CCNB1', 'NEK2', 'ECT2']",3
30,DNA geometric change (GO:0032392),0.004867648568393445,"['BLM', 'RECQL', 'HMGB3', 'HMGB1']",3
31,regulation of G2/M transition of mitotic cell cycle (GO:0010389),0.005017176884110554,"['PLK4', 'TPX2', 'PSMD12', 'CCNB1', 'HSP90AA1', 'PSMA4', 'NEK2', 'HMMR']",3
32,histone mRNA metabolic process (GO:0008334),0.006165357940027676,"['SSB', 'NCBP1', 'SNRPE', 'SNRPF']",3
33,"mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)",0.007160572600978058,"['UQCRB', 'CYCS', 'UQCRFS1']",3
34,positive regulation of ubiquitin protein ligase activity (GO:1904668),0.007160572600978058,"['CDC20', 'UBE2C', 'UBE2S']",3
35,DNA repair (GO:0006281),0.007380661659684056,"['H2AX', 'SLC30A9', 'BLM', 'RFC3', 'PCNA', 'RFC4', 'XRCC5', 'RECQL', 'UBE2V2', 'GTF2H3', 'KPNA2']",3
36,positive regulation of ubiquitin-protein transferase activity (GO:0051443),0.008254577046463962,"['CDC20', 'UBE2C', 'UBE2S', 'RPS2']",3
0,microtubule cytoskeleton organization involved in mitosis (GO:1902850),1.4338536609020134e-39,"['GPSM2', 'ERCC6L', 'BUB1B', 'CDCA8', 'TTK', 'KIF11', 'SKA1', 'AURKB', 'SKA2', 'AURKA', 'CDC20', 'CCNB1', 'STMN1', 'NUF2', 'SPDL1', 'BUB3', 'BUB1', 'DLGAP5', 'STIL', 'PLK1', 'KNL1', 'CKAP5', 'NDC80', 'ZWINT', 'SGO2', 'CENPE', 'KIF18A', 'CENPF', 'ESPL1', 'INCENP', 'CENPI', 'KIF4A', 'TACC3', 'BIRC5', 'KIF2C', 'MAD2L1']",4
1,mitotic spindle organization (GO:0007052),1.886595455536143e-39,"['GPSM2', 'ERCC6L', 'BUB1B', 'CDCA8', 'TTK', 'KIF11', 'SKA1', 'AURKB', 'SKA2', 'AURKA', 'CDC20', 'CCNB1', 'STMN1', 'NUF2', 'SPDL1', 'BUB3', 'BUB1', 'DLGAP5', 'STIL', 'PLK1', 'KIF23', 'KNL1', 'CKAP5', 'NDC80', 'ZWINT', 'MZT1', 'SGO2', 'TPX2', 'CENPE', 'KIF18A', 'CENPF', 'INCENP', 'KIFC1', 'CENPI', 'KIF4A', 'BIRC5', 'KIF2C', 'MAD2L1']",4
2,mitotic sister chromatid segregation (GO:0000070),5.346155676119703e-32,"['CDCA5', 'NCAPG2', 'KIF14', 'CDCA8', 'NCAPG', 'SMC4', 'NCAPH', 'SMC2', 'CCNB1', 'RAD21', 'SPDL1', 'CEP55', 'DLGAP5', 'SPAG5', 'PLK1', 'KIF23', 'KIF22', 'KNSTRN', 'NDC80', 'ZWINT', 'SGO2', 'CENPE', 'KIF18A', 'KIF18B', 'ESPL1', 'KIFC1', 'CDK1', 'KIF2C', 'NCAPD2']",4
3,mitotic cell cycle phase transition (GO:0044772),3.5109887409498596e-21,"['CDKN1B', 'CCNF', 'FOXM1', 'AURKA', 'CCNB2', 'CCNB1', 'TUBA1A', 'CDC27', 'NEK2', 'PLK4', 'BORA', 'UBE2C', 'TUBB', 'CEP152', 'PLK1', 'MASTL', 'CKAP5', 'CDC25B', 'CCNA2', 'MELK', 'DBF4', 'UBE2S', 'CENPJ', 'CCNG2', 'CCNG1', 'TACC3', 'CDK1', 'BCAT1']",4
4,mitotic nuclear division (GO:0140014),4.1129923053348415e-18,"['SPAG5', 'UBE2C', 'NCAPG2', 'PLK1', 'CDCA8', 'KIF11', 'SMC4', 'KNSTRN', 'MZT1', 'NDC80', 'ZWINT', 'SGO2', 'TPX2', 'KIF18A', 'KIF18B', 'ESPL1', 'KIFC1', 'UBE2S']",4
5,sister chromatid segregation (GO:0000819),1.1293857121348816e-17,"['TOP2A', 'SPAG5', 'NCAPG2', 'PLK1', 'CDCA8', 'SMC4', 'KNSTRN', 'NDC80', 'ZWINT', 'SGO2', 'KIF18A', 'KIF18B', 'ESPL1', 'KIFC1']",4
6,regulation of mitotic cell cycle phase transition (GO:1901990),1.1293857121348816e-17,"['PLK4', 'UBE2C', 'TUBB', 'CEP152', 'PLK1', 'KIF14', 'BUB1B', 'HMMR', 'CKAP5', 'AURKA', 'CDC20', 'ANLN', 'TPX2', 'CENPE', 'CCNB1', 'CENPF', 'TUBA1A', 'UBE2S', 'CENPJ', 'CDC27', 'CDK1', 'NEK2', 'BUB3', 'MAD2L1']",4
7,positive regulation of cell cycle process (GO:0090068),4.199274228746168e-17,"['GEN1', 'PLK4', 'GPSM2', 'SPAG5', 'KIF14', 'KIF23', 'NDC80', 'AURKB', 'CDC25B', 'CIT', 'AURKA', 'CCNB1', 'DBF4', 'RACGAP1', 'RAD21', 'KIF20B', 'ECT2', 'RHNO1', 'MAD2L1']",4
